9.19E+16,"hi <user> , i made a complaint in one of your stores 5 days ago and no one has dealt with it . who's best to contact at head office , please ?",1,4,apparel
1.19e+17,"thanks to <user> ' s incompetence i now can't work till october 4th , when the ati card arrives .",1,4,electronics
4.91e+17,you jave the worst customer service ! ! ! #pissed #useless #worstbrand,1,4,apparel
4.92e+17,why is it so hard to cancel or start a subscription ? i now have three dormant accounts that you will not allow me to delete,1,4,other
4.95e+17,i'm recieving terrible home delivery service from you . my paper never gets to me ! #help,1,4,other
4.95e+17,i have complained a dozen times & amp ; yet my papers are still thrown far from my door . why is this so hard to resolve ?,1,4,other
5.01e+17,has the most pathetic cust service in india . they haven't sorted a simple issue of replacing a sub stndrd bag for 20 months,1,4,apparel
5.25e+17,when you go to grab an unopened beer and it's only half full ... thanks <user>,1,4,food
5.34e+17,there was a piece of glass in one of your 16oz cans . it just sliced my mouth open . <url>,1,4,food
5.39e+17,thanks <user> for selling expired beer #fail <user> <url>,1,4,food
5.53e+17,"mean-spirited #parkingdirtysf as <user> driver yelled "" you bikes are f * * * ing everything up ! "" , market & amp ; 2nd <url>",1,4,food
5.56e+17,i just got cut off by a bud light truck . aka the worlds shittiest beer . <user>,1,4,food
6.54e+17,i just want everyone to know that <user> / <user> has the absolute worst customer service i have ever received . ever .,1,4,software
6.56e+17,absolute nonsense that i have to log in every time i watch on appletv . tonight was logged out while watching . what are you doing ?,1,4,software
6.71e+17,worst customer service ever . waste of time . it was supposed to be a gift to someone and now what .. ?,1,4,apparel
6.71e+17,"i hate my <user> #sebring so much ! this thing is an electrical #lemon dash lights , headlights , windows , wipers .. all garbage ! #regretful",1,4,cars
6.71e+17,how the fuck you gonna have providence friars sweatshirts but not sjsu ? ! ? !,1,4,apparel
6.72e+17,when u send packages u should really put them in a box so you don't ruin a kids x-mas morning 25 days early ! <url>,1,4,apparel
6.72e+17,just ruined my kids christmas by canceling my order . so long ping pong table . #fixthisdicks,1,4,apparel
6.74e+17,second sunday the app stopped working because of a gateway error ... during the climax of an episode . you need more servers .,1,4,software
6.74e+17,buy my lemon back ! no heat . chrysler tries to fix 5 times & amp ; still no heat & amp ; ac leaks coolant & amp ; water into car . rain floods car 2,1,4,cars
6.75e+17,love it when i almost die rear ended by a semi cause my jeep turns off again . one day they will fix it #jeepsucks #chrysler,1,4,cars
6.8e+17,your arrive is terrible streaming is stop and start every couple mins . get it together it's xmas,1,4,software
7.26e+17,"fyi <user> has a bad habit of listing cars as cert-preowned online , but they actually aren't . duped me & amp ; friends #phx",1,4,cars
7.31e+17,how is it that every service center in the chicagoland area is completely uncommitted to customer service ? never buying a vw again .,1,4,cars
7.32e+17,"why can vw not fix my car from the short that your serviceman caused during my recall , even with a case # from corp . #4thattempt <user>",1,4,cars
7.35e+17,made me spend $ 1500 to have them fix a problem and they didn't get it fixed and they have the nerve to tell me it's normal . frustrating,1,4,cars
7.36e+17,thanks <user> for your fantastic car seizing up while driving causing me to spin out and almost die .,1,4,cars
7.41e+17,deceiving for parents who try to find something out about a school . makes your site worthless ! ! !,1,4,software
7.68e+17,dear <user> : i've been a print subscriber for 30 years . now your website has kicked me out and customer service hung up on me .,1,4,other
7.73e+17,in ny is the most unorganized company with no respect for their customer's time . #badbusiness,1,4,services
7.74e+17,horrible customer service ! <user>,1,4,services
7.74e+17,"- great job ! 3 power outages in 3 months ! oh , and thanks for responding to my dm that you requested last time . sarcasm ...",1,4,services
7.84e+17,"where can i make a complaint about a member of your staff ? i had an appalling service , makes me not want to shop here again .",1,4,retail
7.88e+17,the lady running the ipad <user> in the <user> section was so rude and unhelpful . she's needs customer service lessons .,1,4,retail
7.97e+17,is this how you fix the exhaust of your <user> in #belarus ? <url>,1,4,cars
8.34e+17,messed up my oil change and now i have oil everywhere,1,4,cars
8.42e+17,8 . <user> it also improperly imported my data from e * trade and kept thinking it hadn't gotten all the information needed .,1,4,software
8.42e+17,i just got charged $ 37 for my state filing when you said it was free before 3/16 . wtf i want a refund . super shady .,1,4,software
8.48e+17,"i wasted three months with you idiots , letters phone calls and you denied the claim . never buy whirlpool again shit heads !",1,4,other
8.51e+17,"amc policy is worst , everything is chargeable under their policy . want better sevice . plz contact - 8587981023",1,4,other
8.52e+17,dear <user> naming multiple models of front loading wagers duet makes it impossible to find the right manual & amp ; help online .,1,4,other
8.54e+17,"how do you get a human on the phone , for a billing issues not tax help ? #poorcustomerservice #fustrated #nothappy",1,4,software
8.54e+17,"whats up with this crazy website . couldn't figure it out so i went to another service , what a mess you have there ! ! ! !",1,4,software
8.65e+17,"thanks <user> for canceling my order because "" people don't normally buy shoes "" . i'm out the money / shoes and was not helped w / online chat",1,4,apparel
8.67e+17,please stop the verification system on my acct . if you cannot do so i will cancel my act .,1,4,services
8.74e+17,wow <user> is slow ...,1,4,software
8.75e+17,i did dm you and i did send my information 3 times over 2 years . your company never replied and never followed up,1,4,other
8.75e+17,your products really stuck how come the manual doors not match the template wmh 32529fz0,1,4,other
8.76e+17,"very very bad exp . from whirlpool customer service executives , sikha - the supervisor on floor , service centre",1,4,other
8.85e+17,contacting on behalf of a client ; their site has been down for 24 + hours but no response from aws support !,1,4,software
8.86e+17,honda won't do anything about water leaking in brand new car . frustrated ! <user> <user>,1,4,cars
8.86e+17,most crvs have air conditioning issues . isn't it prudent to recall ? losing trust in #hondacrv,1,4,cars
8.89e+17,can't believe how bad <user> powerbeats 3 are . 20 minute train journey and not got through one song because i keep reseting <user> #shit,1,4,electronics
8.89e+17,"ty <user> for scamming a woman $ 250 for ur cookie recipe , i now have it because of ur stupidity . #brilliant customer service",1,4,apparel
8.93e+17,my studio fix foundation smells so bad even my boyfriend said my face smelt thanks <user>,1,4,other
